year,vaccination,antibiotics,smallpox,polio
1953,4.610447711732897e-06,7.435513811263458e-06,2.6371198532818397e-06,2.457833785639098e-06
1954,4.646501167826499e-06,8.04688249494185e-06,2.5295973615462638e-06,2.6423628273367484e-06
1955,4.686760609575101e-06,8.599370994082685e-06,2.5247046738944126e-06,2.7529651015965684e-06
1956,4.792333192377944e-06,8.903093773580753e-06,2.5060797419484966e-06,2.8494248240917837e-06
1957,4.814351825643826e-06,8.922654154324456e-06,2.5166519661874124e-06,2.7760553190806344e-06
1958,4.837879970409631e-06,8.713496192009579e-06,2.5000779331207927e-06,2.716487399214072e-06
1959,4.811789273568528e-06,8.418768217666184e-06,2.5745844080152636e-06,2.381308866412317e-06
1960,4.730927108604582e-06,8.12484580592354e-06,2.6087949639272016e-06,2.20468554092333e-06
1961,4.554854843011721e-06,7.800515013351677e-06,2.636838160644369e-06,1.9869181685347063e-06
1962,4.375469573452457e-06,7.2597848474385624e-06,2.664181891987028e-06,1.795623071946092e-06
1963,4.168682567394301e-06,6.7685679709938995e-06,2.644394215727581e-06,1.6296707802914464e-06
1964,3.959929950424014e-06,6.418919170414483e-06,2.6252967256620456e-06,1.4945608545044057e-06
1965,3.836643523007817e-06,6.221018941638639e-06,2.646870816493317e-06,1.3422621140283094e-06
1966,3.6772116627860536e-06,6.08007290736623e-06,2.563236243194719e-06,1.2274679101713966e-06
1967,3.6120428867596795e-06,5.909420380589836e-06,2.5307986563559226e-06,1.1386832132436503e-06
1968,3.578282560161889e-06,5.7880830439671635e-06,2.510038438937759e-06,1.0945567196734326e-06
1969,3.6461081681490474e-06,5.863434501358304e-06,2.4494047897251548e-06,1.0962141175748944e-06
1970,3.6423911221764427e-06,5.851962807160556e-06,2.4355141309432123e-06,1.0399106596789158e-06
1971,3.6257500133680357e-06,5.786425865445771e-06,2.40728789587966e-06,1.003067666514669e-06
1972,3.5703520678355616e-06,5.859677502582729e-06,2.346654664364678e-06,9.893831338964837e-07
1973,3.5971180584023643e-06,5.835535907700822e-06,2.333030435254711e-06,1.0245245403796486e-06
1974,3.6059310011588815e-06,5.951326820812548e-06,2.2864818389121766e-06,1.037826161517533e-06
1975,3.565225812605734e-06,6.09280477955768e-06,2.255664944732822e-06,1.0394529380722669e-06
1976,3.542645222255812e-06,6.188768594483918e-06,2.22921981750192e-06,1.030515535761976e-06
1977,3.5249253517325286e-06,6.383019573214759e-06,2.1519079818383654e-06,1.0471880411699885e-06
1978,3.5300021785644735e-06,6.412896784776682e-06,2.0564231392025282e-06,1.058104647201828e-06
1979,3.579452022656986e-06,6.5072552177168415e-06,1.964152595362074e-06,1.0736746846516456e-06
1980,3.4909378230046125e-06,6.6234268172950455e-06,1.8378032084090786e-06,1.0485489840204667e-06
1981,3.4588620622904335e-06,6.68348748230788e-06,1.7589740353786605e-06,1.0407788104365475e-06
1982,3.4443002613824902e-06,6.763988494640216e-06,1.6725667870381197e-06,1.0788148084068489e-06
1983,3.3948622848762563e-06,6.809025998271474e-06,1.5238055287422218e-06,1.1013967523406824e-06
1984,3.3838033576419742e-06,6.753591266926509e-06,1.4548933742832202e-06,1.146791737127728e-06
1985,3.3923451643959524e-06,6.800607993438592e-06,1.5113892905459027e-06,1.1984526006512754e-06
1986,3.3668451498515746e-06,6.72897531574433e-06,1.478745029537265e-06,1.2363372875309357e-06
1987,3.4073061177610142e-06,6.67211093993306e-06,1.4616993724609578e-06,1.2967006148199646e-06
1988,3.4083879053728846e-06,6.491094202333768e-06,1.4301380590252066e-06,1.3360973221767023e-06
1989,3.375945484813363e-06,6.229474100751174e-06,1.4017883962174388e-06,1.3512015453187587e-06
1990,3.371087863968114e-06,5.970043025018056e-06,1.4184282186897283e-06,1.4017846147343756e-06
1991,3.4094872027878864e-06,5.824187665228107e-06,1.4183576050795312e-06,1.4281519073376458e-06
1992,3.390694922801783e-06,5.643956869099448e-06,1.3063382181702617e-06,1.4786743392899583e-06
1993,3.4061951319180087e-06,5.539120431917256e-06,1.3401166052418034e-06,1.533209762070799e-06
1994,3.4144380986081805e-06,5.510825681247817e-06,1.3619603183658211e-06,1.5721105618585594e-06
1995,3.4594946326040244e-06,5.619436257526493e-06,1.4309248198404338e-06,1.6662656780701873e-06
1996,3.54130901263667e-06,5.660601687955997e-06,1.4841623609461252e-06,1.733782960248017e-06
1997,3.6194282948542877e-06,5.747867196553053e-06,1.5228485711179677e-06,1.7701036227890654e-06
1998,3.742221959868175e-06,5.808819591176676e-06,1.6180967169963724e-06,1.8139654652011522e-06
1999,3.82665506037938e-06,5.968602605678695e-06,1.8381709050758438e-06,1.800938002156321e-06
2000,3.919544083836561e-06,6.063185713246964e-06,2.0596983605030464e-06,1.8094767893574369e-06
2001,4.037045596102677e-06,6.171671770971443e-06,2.2348470719103986e-06,1.847333245105379e-06
2002,4.190136801846782e-06,6.194743733597566e-06,2.387916024788288e-06,1.866905917223351e-06
2003,4.271787336561163e-06,6.244531232673417e-06,2.477405616017693e-06,1.841664743754531e-06
2004,4.330251443513638e-06,6.374879214985998e-06,2.586994948420137e-06,1.8291822751085157e-06
2005,4.317855004844416e-06,6.498197818822453e-06,2.5962797731387307e-06,1.7943643409219182e-06
2006,4.258537612195873e-06,6.567716998314869e-06,2.5452721440341208e-06,1.8319298742091358e-06
2007,4.183781668538294e-06,6.662749512490304e-06,2.427039325577799e-06,1.79683265409482e-06
2008,4.122933848041806e-06,6.848960599167445e-06,2.3524936364007128e-06,1.711304129641584e-06
2009,4.131625778772527e-06,7.2282970385068835e-06,2.2232375188454715e-06,1.5856529068817134e-06
2010,4.0265592716589746e-06,7.37711666433581e-06,2.1732519884639804e-06,1.5330413388906346e-06
2011,3.824616660454337e-06,7.37187128991528e-06,2.0982405910530133e-06,1.4641624598458035e-06
2012,3.7396483200272513e-06,7.494872919368487e-06,2.122855549505484e-06,1.4348054955577133e-06
2013,3.7125415729580676e-06,7.581229846564952e-06,2.067533014761734e-06,1.344103012509582e-06
2014,3.6784773226169624e-06,7.547165314290639e-06,2.012459195859557e-06,1.2912654008902434e-06
2015,3.678458813993757e-06,7.339987070460146e-06,2.0610300051388767e-06,1.291610184520461e-06
2016,3.5406552420117317e-06,7.112353604859274e-06,2.0663286615096865e-06,1.2788080869479451e-06
2017,3.5123309170733328e-06,7.0889724715546744e-06,2.0725848223583183e-06,1.2729343236150827e-06
2018,3.625357512504479e-06,7.156129326446604e-06,2.099018739620817e-06,1.271576544814579e-06
2019,3.6031370673761387e-06,7.004378393737909e-06,2.0523606212297096e-06,1.2352392060877015e-06
