year,internet,spacecraft,antibiotics,neural network,nuclear energy
1983,1.0342719148427802e-06,7.684679137095632e-06,6.809025998271474e-06,7.238172796051958e-08,4.957719600692404e-06
1984,1.0930226750360818e-06,7.808035872715533e-06,6.753591266926509e-06,1.2457515595278223e-07,4.618472157095052e-06
1985,1.0148443804679021e-06,8.100062818324919e-06,6.800607993438592e-06,2.2796010950327477e-07,4.384690788989637e-06
1986,1.2833324701335058e-06,8.129498492540474e-06,6.72897531574433e-06,4.21259480933221e-07,4.25212166987876e-06
1987,1.5638941664215215e-06,8.285720671860222e-06,6.67211093993306e-06,8.357278631037396e-07,4.033463964349591e-06
1988,1.98535936947662e-06,8.474360738221418e-06,6.491094202333768e-06,1.4489481460370053e-06,3.923644760967753e-06
1989,2.503185426811732e-06,8.594219122772173e-06,6.229474100751174e-06,2.0632524072742143e-06,3.772148171979747e-06
1990,3.3721263597336867e-06,8.423363904544853e-06,5.970043025018056e-06,2.7407880036633965e-06,3.5728873066480963e-06
1991,6.049378148377725e-06,8.420980752329603e-06,5.824187665228107e-06,3.445831867716314e-06,3.5100349882506114e-06
1992,1.0784350036731536e-05,8.311021783161516e-06,5.643956869099448e-06,4.1154153080924524e-06,3.374527478529542e-06
1993,1.7848782858566532e-05,7.921710757078212e-06,5.539120431917256e-06,4.574370841226027e-06,3.0861750630606366e-06
1994,2.800091798909372e-05,7.500010918347146e-06,5.510825681247817e-06,4.7153744578817424e-06,2.9010522959132298e-06
1995,3.8448312080520614e-05,6.967569215175575e-06,5.619436257526493e-06,4.661226036262178e-06,2.7294616131712246e-06
1996,5.040924693438293e-05,6.4387781679085625e-06,5.660601687955997e-06,4.511564325428351e-06,2.586487544777226e-06
1997,6.376813437977294e-05,6.158987722366354e-06,5.747867196553053e-06,4.265124261897718e-06,2.5015376716096076e-06
1998,7.562363790774336e-05,5.519575729806547e-06,5.808819591176676e-06,3.925384945599067e-06,2.3506102902867302e-06
1999,8.443920925011688e-05,4.9690962440657974e-06,5.968602605678695e-06,3.5089234339734176e-06,2.3358262072495757e-06
2000,8.969884603564944e-05,4.779331022116854e-06,6.063185713246964e-06,3.288992049123505e-06,2.2317117038182588e-06
2001,9.139545857448995e-05,4.598001066113966e-06,6.171671770971443e-06,3.148321760499633e-06,2.1446160712709376e-06
2002,9.16169680067469e-05,4.419138622527693e-06,6.194743733597566e-06,3.057215706497069e-06,2.07700049971647e-06
2003,9.020009393420228e-05,4.240231676634819e-06,6.244531232673417e-06,3.00598283902482e-06,2.0303487972788455e-06
2004,8.665905305146484e-05,3.9797188693719524e-06,6.374879214985998e-06,2.899645479154904e-06,1.9855568617848415e-06
2005,8.259174843975155e-05,3.7988516129619905e-06,6.498197818822453e-06,2.761426994877882e-06,1.8972664389390762e-06
2006,7.849124745819478e-05,3.639528023212181e-06,6.567716998314869e-06,2.6974254893222645e-06,1.7351348568744081e-06
2007,7.536726920014709e-05,3.4147967597724412e-06,6.662749512490304e-06,2.582295642206134e-06,1.7241263540666651e-06
2008,7.223891346289488e-05,3.1959220043731307e-06,6.848960599167445e-06,2.5538839271937216e-06,1.670759456372041e-06
2009,6.893497345166517e-05,3.082358151194699e-06,7.2282970385068835e-06,2.5337181102409138e-06,1.5988447345754205e-06
2010,6.544759646333529e-05,2.9413381132619473e-06,7.37711666433581e-06,2.4747835337838154e-06,1.5263823784599545e-06
2011,6.18291949113622e-05,2.8019286680042958e-06,7.37187128991528e-06,2.4229608626770623e-06,1.399892788356283e-06
2012,5.876903646091186e-05,2.7309299985844855e-06,7.494872919368487e-06,2.367361177820929e-06,1.3122581621973138e-06
2013,5.7201043249831075e-05,2.6724001767064465e-06,7.581229846564952e-06,2.3838545132802224e-06,1.247977882050983e-06
2014,5.434785976733889e-05,2.837274860516865e-06,7.547165314290639e-06,2.451319384176389e-06,1.1849174664949454e-06
2015,5.128768906307154e-05,2.830814520571323e-06,7.339987070460146e-06,2.6201968519958186e-06,1.1476554972387831e-06
2016,5.023420931544414e-05,2.7561549863973156e-06,7.112353604859274e-06,2.9603333512793843e-06,1.1041056164578272e-06
2017,4.9608188722534884e-05,2.779699111776779e-06,7.0889724715546744e-06,3.023252231522852e-06,1.0734429574850897e-06
2018,4.913785027156336e-05,2.8446645696789115e-06,7.156129326446604e-06,3.217399412847044e-06,1.0798581071114198e-06
2019,4.825278399067656e-05,2.9498516542769693e-06,7.004378393737909e-06,3.6181090528053517e-06,1.0544373723053724e-06
