year,quantum mechanics,theory of relativity,general relativity,special relativity
1904,1.1728176973242149e-08,9.142695487589821e-09,3.77805164930578e-09,1.9258203206743268e-09
1905,1.1022877113060174e-08,9.661536558886702e-09,3.6383513463927083e-09,1.9086901246031675e-09
1906,1.1194538996181106e-08,1.0438627712217041e-08,3.726745202119781e-09,1.9381547438397054e-09
1907,1.1678226534615556e-08,1.5826924715245386e-08,3.697489334549989e-09,2.0077173415852403e-09
1908,1.1662093143365622e-08,2.0655502554399263e-08,3.778975105062088e-09,2.0207492851650623e-09
1909,1.1482269259407588e-08,3.255573801811248e-08,3.602394140925621e-09,2.0142111857381268e-09
1910,1.9802609879263475e-09,4.9582156491645435e-08,5.814763155103415e-10,1.7745416743185164e-10
1911,1.9032156049560355e-09,6.553708867659428e-08,5.822583922946275e-10,1.7745416743185164e-10
1912,2.4124103786033705e-09,7.778453747775417e-08,8.689311016750268e-10,2.3220765489011845e-10
1913,2.5184166577548896e-09,8.499980116387957e-08,1.96168935857293e-09,2.1631949703726505e-10
1914,2.6841368611878784e-09,1.0182485956593862e-07,3.3223743855265956e-09,2.439651595821855e-10
1915,4.10915056247336e-09,1.1374814184807378e-07,8.114112732905884e-09,7.30711403091571e-10
1916,3.845451650560541e-09,1.3109299920797758e-07,1.1280384098041487e-08,1.7631093529590913e-09
1917,3.745117521658514e-09,2.2053694273747674e-07,1.9549910062834275e-08,8.890840246562298e-09
1918,4.701781885456985e-09,3.1793447569689844e-07,2.810485261878215e-08,1.274324986802863e-08
1919,5.042861643148441e-09,4.265815903352145e-07,3.6739648397970156e-08,1.854680136454639e-08
1920,7.109246603116087e-09,5.467636424886077e-07,4.117473804271521e-08,2.161665168690493e-08
1921,7.963625230486152e-09,6.283223036783271e-07,4.929483675320772e-08,2.664264165734366e-08
1922,1.0332068364561827e-08,6.911343157461098e-07,4.9049462643288184e-08,2.7701758011485933e-08
1923,3.380605422086719e-08,7.335987180263308e-07,5.2734430814168776e-08,3.0794665381187314e-08
1924,5.791169810959967e-08,6.940242691655385e-07,5.2678942406649195e-08,2.7199218680900343e-08
1925,1.0440749433071606e-07,6.521619796576568e-07,5.3432361146743546e-08,2.6120922246614898e-08
1926,1.4041443141543652e-07,6.019803555317489e-07,4.878343415535914e-08,2.328746404838584e-08
1927,1.7802102569852707e-07,5.458681614024994e-07,4.783069731355878e-08,2.247101883536194e-08
1928,2.2121941753042558e-07,5.472419275192359e-07,4.660146063286051e-08,2.0269946102554777e-08
1929,2.86848267868781e-07,5.408824809625758e-07,4.821655326392449e-08,2.2145112695984692e-08
1930,3.125371188517079e-07,5.466468898493051e-07,5.5510824577870953e-08,2.3864152479521495e-08
1931,3.536330904932835e-07,5.642986063822012e-07,5.869527210893606e-08,2.809305384154914e-08
1932,3.7358527224132636e-07,5.526778982404121e-07,5.880598580111839e-08,2.9295271926553313e-08
1933,3.918967517486343e-07,5.446657759097409e-07,6.495060695626315e-08,3.131018112239354e-08
1934,4.093609205898677e-07,5.323025591102188e-07,7.055202174461554e-08,3.243638531578798e-08
1935,4.484025288853389e-07,4.896095959137727e-07,7.69131348649881e-08,3.523627073850502e-08
1936,4.247000061471543e-07,4.7355642366194874e-07,7.786276032262229e-08,3.621866898459051e-08
1937,4.4301859634744894e-07,4.4354321904194194e-07,7.244657256242983e-08,4.32009145401313e-08
1938,4.2159738532023177e-07,3.972201086150611e-07,6.804916031856655e-08,3.8913064417548226e-08
1939,4.0753574001176467e-07,4.0380143565396255e-07,6.813043083269449e-08,3.9621673616644215e-08
1940,3.9019484741688514e-07,3.8775075639208017e-07,6.427013557464001e-08,3.8431545323109565e-08
1941,3.9937708613229414e-07,3.642551197177316e-07,5.841061402016884e-08,3.73721716390956e-08
1942,3.5827178988613794e-07,3.4653568376746033e-07,5.07109241206148e-08,3.423319754257216e-08
1943,3.599958614383273e-07,3.36874891918423e-07,4.891693251455173e-08,3.332593120908278e-08
1944,3.6213440056189127e-07,3.5916948729460986e-07,4.7337595892752275e-08,2.5328872083063558e-08
1945,4.0725409425742705e-07,3.717092386905969e-07,4.5463154005331845e-08,2.6936954377371998e-08
1946,4.484117085899543e-07,3.808241480258394e-07,5.086685504751554e-08,3.029206583190661e-08
1947,5.323682679454173e-07,4.218478307623944e-07,6.140737969903157e-08,4.186987746988636e-08
1948,5.7100183318123e-07,4.53143017585335e-07,7.091382630513328e-08,4.7174578560975947e-08
1949,6.110020065770122e-07,5.01924374380585e-07,7.802350018451928e-08,5.5020533819481546e-08
1950,6.721805592135867e-07,5.255370736685043e-07,8.965628487242075e-08,6.026051780587999e-08
1951,6.956216651587964e-07,5.258225559095259e-07,9.888257266967214e-08,6.380795767551334e-08
1952,7.232880620782518e-07,5.430846085856851e-07,1.0839292395394193e-07,6.833480565928061e-08
1953,7.655647107997408e-07,5.444376382739742e-07,1.1644217315761754e-07,7.227194159401381e-08
1954,7.718202125671172e-07,5.395536446200261e-07,1.227537784595104e-07,6.832848954498238e-08
1955,8.361780740833475e-07,5.65922438879239e-07,1.3392839410502386e-07,7.622428432488679e-08
1956,9.083261457273498e-07,5.856177219027663e-07,1.502415358155064e-07,7.964818999181159e-08
1957,9.526045440720412e-07,6.232660634264421e-07,1.710323358177541e-07,8.566433728643804e-08
1958,1.0485410772024091e-06,6.572261251732873e-07,1.9828485577276315e-07,9.496915315265753e-08
1959,1.1456864889173145e-06,6.877558628952992e-07,2.4054700923211876e-07,1.0807522155780497e-07
1960,1.2079600398046912e-06,7.004431514483806e-07,2.594175261272369e-07,1.1440902844947079e-07
1961,1.2937045344837576e-06,7.124294448030659e-07,2.92373469181127e-07,1.2384516433007674e-07
1962,1.3837537937076507e-06,7.146051150502025e-07,3.251634408079391e-07,1.377586346900423e-07
1963,1.4887176525186466e-06,6.975036738664033e-07,3.6337689758779236e-07,1.504951730537028e-07
1964,1.539174347340934e-06,6.624434352175966e-07,3.9639330078650966e-07,1.622441314313201e-07
1965,1.5518929501467937e-06,6.429348213186716e-07,4.2049154900882157e-07,1.7435742608437212e-07
1966,1.55074929507139e-06,6.291296372116863e-07,4.294828947085501e-07,1.7499270229695947e-07
1967,1.5472493716726734e-06,6.236546988677308e-07,4.5663846443793385e-07,1.7871971363143351e-07
