year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb,quantum mechanics,theory of relativity
1933,4.3909165763673334e-08,1.1672276718578874e-08,6.042109258157831e-08,1.566972347512495e-09,3.918967517486343e-07,5.446657759097409e-07
1934,4.673439916011038e-08,1.047857238875175e-08,8.32900683898709e-08,1.5235422348317383e-09,4.093609205898677e-07,5.323025591102188e-07
1935,4.559201068660939e-08,1.0077274933168693e-08,1.043126470994566e-07,1.5430638394026935e-09,4.484025288853389e-07,4.896095959137727e-07
1936,5.078697035540028e-08,1.3984603088641151e-08,1.2674768980401397e-07,1.6102783273463928e-09,4.247000061471543e-07,4.7355642366194874e-07
1937,5.5324826418536236e-08,1.616612466710204e-08,1.669922268085092e-07,1.6955370559948844e-09,4.4301859634744894e-07,4.4354321904194194e-07
1938,5.6435782000033696e-08,1.4918420822098077e-08,1.836902476158388e-07,1.976288731870517e-09,4.2159738532023177e-07,3.972201086150611e-07
1939,5.592881180405129e-08,1.628371386738373e-08,2.1012394636952897e-07,1.3343687742052778e-09,4.0753574001176467e-07,4.0380143565396255e-07
1940,5.761997391916042e-08,1.5964148697422686e-08,2.1498911140227506e-07,1.4141583102946142e-09,3.9019484741688514e-07,3.8775075639208017e-07
1941,6.107185950605348e-08,1.7108875800213904e-08,2.2185714262537968e-07,1.5239305611076353e-09,3.9937708613229414e-07,3.642551197177316e-07
1942,1.0180295497470252e-07,1.8895628914724786e-08,2.621871822507314e-07,3.098303788132536e-09,3.5827178988613794e-07,3.4653568376746033e-07
1943,2.4667671650166086e-07,4.0454837317373456e-08,3.6588723289250016e-07,5.590940712380771e-09,3.599958614383273e-07,3.36874891918423e-07
1944,3.682904300099971e-07,6.327938556879456e-08,4.602417577207315e-07,7.021958239079268e-09,3.6213440056189127e-07,3.5916948729460986e-07
1945,4.5818543471996626e-07,9.464813059887967e-08,5.710513830057908e-07,7.458568998530701e-09,4.0725409425742705e-07,3.717092386905969e-07
1946,5.686527714424525e-07,1.402520580586129e-07,6.869337137211622e-07,8.905609945914731e-09,4.484117085899543e-07,3.808241480258394e-07
1947,6.730543194840723e-07,1.9069405232266918e-07,8.121628912251465e-07,9.868653281468783e-09,5.323682679454173e-07,4.218478307623944e-07
1948,7.82552242688845e-07,2.379347949499344e-07,9.408342366766321e-07,1.1265242823894311e-08,5.7100183318123e-07,4.53143017585335e-07
1949,8.707832694909711e-07,3.045472101487994e-07,1.025962957003555e-06,1.1401168666896096e-08,6.110020065770122e-07,5.01924374380585e-07
1950,8.618789664183168e-07,3.561777268996329e-07,1.0481430692266258e-06,1.1246063101599812e-08,6.721805592135867e-07,5.255370736685043e-07
1951,9.92117983449654e-07,4.4055121268498407e-07,1.0797407397384568e-06,1.783393342427323e-08,6.956216651587964e-07,5.258225559095259e-07
1952,1.3330841543027612e-06,5.964176691567298e-07,1.155379727890704e-06,3.151560798343127e-08,7.232880620782518e-07,5.430846085856851e-07
1953,1.8006971730853496e-06,7.716592528136549e-07,1.2402267789265612e-06,4.7524374181024635e-08,7.655647107997408e-07,5.444376382739742e-07
1954,2.324301350244338e-06,9.67401530184629e-07,1.3191468981282078e-06,7.767495931672506e-08,7.718202125671172e-07,5.395536446200261e-07
1955,2.969636352949984e-06,1.207638456156092e-06,1.4362706330928177e-06,1.1002776351429609e-07,8.361780740833475e-07,5.65922438879239e-07
1956,3.5170475771094185e-06,1.4392071015580297e-06,1.558399538684593e-06,1.3778414666551102e-07,9.083261457273498e-07,5.856177219027663e-07
1957,3.965130963885193e-06,1.6905174390505602e-06,1.6892474121732448e-06,1.664260645505606e-07,9.526045440720412e-07,6.232660634264421e-07
1958,4.213015994228693e-06,1.8995052763719807e-06,1.7956847498469741e-06,1.9458698447787676e-07,1.0485410772024091e-06,6.572261251732873e-07
1959,4.305671128333546e-06,2.0530070687284156e-06,1.9176207207546473e-06,2.1937913720547287e-07,1.1456864889173145e-06,6.877558628952992e-07
1960,4.158810907841014e-06,2.1530271584627566e-06,1.967721491017268e-06,2.3600923999238838e-07,1.2079600398046912e-06,7.004431514483806e-07
1961,3.956068984020281e-06,2.2095323259918587e-06,2.024286254303271e-06,2.3710365832612418e-07,1.2937045344837576e-06,7.124294448030659e-07
1962,3.6700157315700773e-06,2.246155800784371e-06,2.0748566730130084e-06,2.3177798515382012e-07,1.3837537937076507e-06,7.146051150502025e-07
1963,3.4170847637174773e-06,2.2581234335104583e-06,2.114402178676755e-06,2.3083334605671677e-07,1.4887176525186466e-06,6.975036738664033e-07
